Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","203","Czechia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","34.77","E","Estimated value"
"FBS","Food Balances (2010-)","203","Czechia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","62.47","E","Estimated value"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","25971.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","44.15","E","Estimated value"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","10.98","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","95894.12","X","Figure from international organizations"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","25.43","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","3.15","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5854.24","X","Figure from international organizations"
"FBS","Food Balances (2010-)","208","Denmark","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","37.98","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","75.21","E","Estimated value"
"FBS","Food Balances (2010-)","262","Djibouti","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1105.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","262","Djibouti","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","59.62","E","Estimated value"
"FBS","Food Balances (2010-)","262","Djibouti","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","16.02","E","Estimated value"
"FBS","Food Balances (2010-)","212","Dominica","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","72.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","212","Dominica","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","42.36","E","Estimated value"
"FBS","Food Balances (2010-)","212","Dominica","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","56.85","E","Estimated value"
"FBS","Food Balances (2010-)","214","Dominican Republic","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","11117.87","X","Figure from international organizations"
"FBS","Food Balances (2010-)","214","Dominican Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","39.13","E","Estimated value"
"FBS","Food Balances (2010-)","214","Dominican Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","41.55","E","Estimated value"
"FBS","Food Balances (2010-)","218","Ecuador","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","17797.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","218","Ecuador","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","33.17","E","Estimated value"
"FBS","Food Balances (2010-)","218","Ecuador","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","36.66","E","Estimated value"
"FBS","Food Balances (2010-)","818","Egypt","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","109262.18","X","Figure from international organizations"
"FBS","Food Balances (2010-)","818","Egypt","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","63.97","E","Estimated value"
"FBS","Food Balances (2010-)","818","Egypt","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","27.49","E","Estimated value"
"FBS","Food Balances (2010-)","222","El Salvador","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","6314.17","X","Figure from international organizations"
"FBS","Food Balances (2010-)","222","El Salvador","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","49.31","E","Estimated value"
"FBS","Food Balances (2010-)","222","El Salvador","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","36.38","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1328.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","233","Estonia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","32.78","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","78.84","E","Estimated value"
"FBS","Food Balances (2010-)","748","Eswatini","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1192.27","X","Figure from international organizations"
"FBS","Food Balances (2010-)","748","Eswatini","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","41.7","E","Estimated value"
"FBS","Food Balances (2010-)","748","Eswatini","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","19.13","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","120283.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","68.79","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","7.16","E","Estimated value"
"FBS","Food Balances (2010-)","242","Fiji","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","924.61","X","Figure from international organizations"
